Batman vs Superman	batman vs superman
I'm just guessing as to what it may have accomplished back then	mai just guess kar raha hu ki isse unhone us time pe  kya accomplish kiya hoga
Probably nothing with those scores	probably is score ke sath nothing
The box office  gross is more important than critics acceptance for these blockbuster type movies	In blockbuster type ki movies ke liye box office  total jyada important hota hai bajay critics ki acceptence ke.
I don't like how they made a whole new story line.	Mujhe to bilkul hi pasand nahi aaya kaise unhone poori new story line bana di.
They ruined it for me	mere liye to unhone ruin kar di
although critics can affect word of mouth to an extent	although critics ek extent tak affect kar sakte hai word of mouth ko
Batman as a billionaire	Batman ek billionaire ke roop me
yeah right!	yes right!
Isn't that what he always was?	kya wo always aisa hi nahi tha?
But they make it the main focus.	lekin yeh tho unka main focus hein
Batman I know, was humble	batman tho humble hein yar
The lack of intellectual development for the main characters was my problem. Especially concerning Lex Luthor	are main characters ka intellectual development mein hi kuch problem hein yar... especially us lex luthor ko
Have you seen this movie?	kya aap is movie ko dekha?
Yes I have	haan mein dekha..
What was your favorite part?	aapka favourite part konsa hein?
Lex L uthor was the worse villain ever	lex luthor tho worse villain hein yar
You think?	aapko patha hein?
This wasn't a memorable movie. It got me through a bucket of popcorn at the moment I was watching, but you forget about it soon after	voh tho memorable movie bhi nahi tha.. jab mein picture dekh rahi thi tab muje popcorn bucket mila, aur yeh mein kabhi bhool nahi sakthi
hahaha	ha ha ha
Did people know that they were super heroes? 	kya logon ko patha hein ki voh super heroes hein?
The best part was Wonder Woman action scenes  in the final act	uska best part tho wonder woman actionscene ka hein
I love Wonder Woman	muje wonder women bahut pasand hein
Wonder Woman is the right name for her cause I always wonder why they took so long to get her into the movies	wonder woman tho sahi naam hein kyon ki mein tho hamesha wonder karti ki voh itna ache kaise act kar sakthi is movie ke liye
haha	ha ha
I agree!!!!	mein bhi maantha hoon
Let's get started.	chalo start karte hai
Have you ever seen the movie John Wick?	kya tumne John Wick movie dekhi hai?
Yes, with that actor who was in the Matrix flicks.	Yes, usme wo actor tha na jo Matrix mai bhi tha.
Yes, that's the one.	Haan, woh hi hai.
What did you think?	Tune kya socha?
I thought it was his best film.	Mujhe laga woh uski best film thi.
I don't see a paragraph about a movie. Is anyone else in here?	muje toh kuch paragraph nahi dikh raha hein us movie mein. kya koi aur dekh rahe hein kya?
Hi! Have you seen the movie The Imitation Game?	hi.. kya koi imitation game ka movie dekhe hein kya?
I haven't. What's that about?	mein nahi. usme kya hein?
It's a 2014 American historical drama about real life cryptoanalyst Alan Turing.	voh toh American historical drama ka real life cryptoanalyst alan turing hein jo 2014 mein release huva tha
Do you like biopics? If you do this movie might interest you.	aap ko biopics pasand hein kya? agar aapko is  movie dekhenge toh aapko interest hoga
It sounds interesting. What does Alan Turing do?	acha toh alan turing kya kar raha hein?
He decrypted German Intelligence codes for the British government during WWII. 	voh German Intelligence ke liye decrypted karthe hein aur voh british government ke liye kaam karthe hein wwll
It has 91% rating on Rotten Tomatoes and average 7.7/10 and a Metacritic Score of 73/100. What ratings does a movie have to have for you to watch it? Or do you not consider ratings when deciding to watcha movie?	voh rotten tomatoes ke rating toh 91% hein aur uska average 7.7/10 aur metacritic score toh 73/100 hein. acha toh kya rating mein aap movie dekhne ko pasand karenge? ya aap movie ko watch karne keliye rating ko nahi consider karenge?
hello	hello
Hi, Do you think  this movie earned its 92& rotten tomatoes rating?	Hi, kya tumhe lagta hai is movie ne apna 92% rotten tomatoes rating earn kiya hai?
Yes, I think it did, it was a great movie.  What do you think of Robert Downey Jr in that role?	Haan, mujhe yahi lagta hai, bahut badhiya movie thi. Tum us role me Robert Downey Jr. ke bare me kya sochte ho?
hi	kaise ho
hello 	kaise ho
so what did you think about jaws	jaws movie ke bare me kya lagtha hai
I think the movie is a classic	woh bahut acha classic movie hai
yes I enjoyed the horor elements	mujhe usme darne vally scenes acha laga
yea I was really spooked when I first saw the film as a kid	jab my bacha tha tho mujhe ye bhooth film jaise laga
i really love how the shark is a big threat to them	shark se sab darthe the ye mujhe acha laga
yea and they had planes and everything and the shark was like godzilla haha	unke pass  plane or sab kuch tha aur shark ek godzilla lagtha tha,hahha
so what's next	ab aur kya hai
it seems like jaws may not get another movie	aisa lagata hai ki jabade ko doosaree philm nahin mil sakatee hai
really? I thought they were making all sorts of remakes 	vaastav mein? mujhe laga ki ve har tarah ke reemek bana rahe hain
I did not here about that and also  scene on the beach was very scarey	main yahaan us baare mein nahin tha aur samudr tat par bhee drshy bahut daraavana tha
for me when the guys were trapped on the boat was what I found most scary 	mere lie jab naav par log phanse the mujhe vahee sabase daraavana laga
lots of places that I would be very scared to be at in real life	bahut see jagahen jinhen main vaastavik jeevan mein hone se bahut darata hoon
maybe if there were sharks 	shaayad agar vahaan shaark the
yeah lol	haan majaakiya
I try to stay away from the water myself to avoid sharks I dont find surfing to be worth the risk	main khud paanee se door rahane kee koshish karata hoon shaark se bachane ke lie main jokhim ke laayak sarphing nahin karata
yeah I can't swim at all so it is out of the picture for me	haan, main bilkul nahin tair sakata to yah mere lie tasveer se baahar hai
so water is always a fear of mine	isalie paanee hamesha mera ek dar hai
yea 	haan
I do like watching the waves	mujhe laharon ko dekhana achchha lagata hai
surprised how they needed a professional to catch the shark	aashchary hai ki shaark ko pakadane ke lie unhen ek peshevar kee aavashyakata kaise huee
all they needed was a bunch of guys with beer and guns lol	ve sabhee kee jaroorat beeyar aur bandookon ke saath logon ka ek samooh tha
yeah	haan
seems funny lol	ajeeb lag raha hai
wonder where the next page gonna appear	aashchary hai ki agala prshth kahaan dikhaee dega
maybe 5mins	shaayad 5mins
quint died right at the end too	ant mein kvint kee bhee maut ho gaee
that was dumb of them to try and use a strychnine on the shark	ki shaark par ek strychhninai ka upayog karane ke lie unamen se goonga tha
it was a good movie though	yaddhyapi yah good movie thi.
Hello! do you like comedy, adventure, and animation movies?	namaskaar! kya aapako komedee, edavenchar aur eneemeshan philmen pasand hain?
Yes I like all of those genres. What do you think about the rating of this movie?	haan main un sabhee shailiyon ko pasand karata hoon. is philm kee reting ke baare mein aap kya sochate hain?
i think the ratings are good. Rotten tomatoes gave it an 89% and cinemascore gave it an A+	mujhe lagata hai ki retings achchhee hain. sade hue tamaatar ne ise 89% diya aur sinemaajor ne ise a + diya
Yes same here. It was very popular kids all wanted frozen themed everything. the story line was different from other Princess movies	haan same here. Woh kaafi popular tha, saare kids wanted frozen themed cheezen. Uska story line was different from baaki princes movies
yes, i thought it was a great disney movie with very cute characters	haan, maine soocha it was a great disney movie with cute characters
What do you think about the cast? Kristen bell is one of my faves.	Cast ke bare main kya socthe ho? Kristen bell meri favorite hai
i think the cast is great with idina menzel who has a beautiful voice	I think cast accha tha with idina menzel, jiski awaaz acchi hai
She was great, very distinctive voice. I think olof was the funniest.	She was great, bhaut alag awaaz hai uski. I think olof funniest tha
i was very impressed with the animation and how pretty the whole movie was	main kaafi impressed hoon animation se and poori movie kafi pretty thi.
The art was very nice, especially the ice castle scene.	Art kafi acchi thi, especially barf ke castle ka scene.
it was in 3d. do you watch movies in 3d or 2d usually?	it was in 3d. tum aamtour main 2d ya 3d movies dekhte ho?
When i can catch the movies in 3d i try to watch them. It's a different experience but can easily ruin a movie. What do you think	Jab i can watch the movies in 3d, i try to watch. It's a different experience par can easily ruin a movie. tum kya sochte ho?
i agree. it depends on the movie and the seats too	i agree. movie aur seats pe depend karta hai.
i thought it was sad when the parents died at sea	muje toh sad laga jab uska parents sea mein mar gaye the.
I like the rock family they were cute.	muje voh rock family bahut pasand hein, voh cute hein
Do you think it will end up on B roadway?	kya aap soch rahe ki yeh B roadway mein end hoga?
i think it will. the songs were so catchy	haan muje lag raha hein ki yeh jarur hoga. aur us songs toh bahut catchy hein
I like that the hero in the movie is Elsas younger sister and not the typical prince.	muje voh hero ko pasand hein , voh toh Elsas ka choti bahen hein typical prince ke jaise bilkul nahi hein
me too. I like that it was about family and sisters too. 	muje bhi. muje bhi pasand hein , kyon ki voh toh family aur sisters ke baare mein hein.
Same here and being that I have two i could relate to how they felt about each other. 	haan yar, muje bhi do behen hein, mein usse relate kar sakthe hoon.
i argree. i did not like Hans	mein maantha hoon. muje bhi Hans pasand nahi hein
who was your favorite character?	is me aapka favorite character kon hein?
He was horribe, i did not like how he tried to make Ana the villain. But i did appreciate Kristoff and how helpful he was. 	voh toh horrible hein, aur muje usko pasand nahi hein  kyon ki voh Ana ko villain banane mein vyast ho raha tha. lekin mein Kristoff ko bhi appreciate karunga voh kitna helpful tha.
My favorite character was olof. How about you?	mera favorite character hein Olof. Aapka?
i liked anna. she was precious	Muje Anna ko pasand hein, voh precious hein
did you like the ending	aapko ending pasand hein?
What were your thoughts about the scene when Hans locked up elsa  in that room.	aapko kaisa laga jab Hans Elsa ko us room mein lock kiya tha
it was scary. i was surprised since she liked hans so much at the start	muje toh dar laga. kyon ki voh shuru mein toh Hans ko pasand kar rahi thi
Yes i loved the ending, i liked that the town saw that Elsa was not as bad as Hans made her to be, and that Kristoff and ana ended up together	haan yar muje ending pasand hein, muje us town bhi pasand hein jo Elsa ko bura dekhayi gayi jo Hans ka Haal tha, aur kristoff aur ana donno end hogaye
me too. 	muje bhi
He was a character the deception was great	Uska character toh deception hein voh great hein
hello!	hello!
hi	hi
Have you seen this movie?	kya tumne ye movie dekhi hai?
Yes.	yes
My boys love it!	Mere boys ko ye pasand hai
I've watched it a lot of times.	maine ise bahut baar dekha hai
It is such a cute movie	ye bahut hi cute movie hai
Who is your favorite character in Despicable Me?	Tumhara favourite character kaun hai Despicable Me mein?
I like Kevin	Mujhe Kevin pasand hai
Who did you like	Tumhe kaun pasand hai
I like him too. My favorite is Lucy Wilde	Mujhe bhi wo pasand hai. Mera favorite hai Lucy Wilde
I like Gru too. He tries to be such a tough guy	Mujhe Gru bhi pasand hai. Woh ek tough guy banne ki bahut koshish krta hai
Yeah, he is a supervillain and admired by minions.	Han, wo ek supervillain hai aur minions se pasand kiya jata hai.
I like how the minions  all have a little different personality 	Mujhe achha lagta hai ki kaise sabhi minions ki personality alag hai
Who is the other minions you know aside from kevin?	Kevin ko chhod kar dusre konse minions tumhe pasand hai?
bob	Bob
what was the other main character? Do you remember. 	Aur konsa main character hai? Kya tumhe yaad hai.
Oh, I like bob too. I also like the personality of other minions.	Oh, mujhe bhi bob pasand hai. Mujhe dusre minions ki personality bhi pasand hai.
I also remember Victor and Dr. Nefario.	Mujhe Victor aur Dr. Nefario yaad hai.
Those girls really have Gru wrapped around their finger.	Un ladkio ne Gru ko apne ungli pe nacha diya hai
